id,national_annex,lmd_known,dimensions_known,point_foundation_shape,gamma_c,gamma_s,f_R_1,f_R_2,f_R_3,f_R_4,radius,height,height_p_hor,depth,column_shape,column_length,column_width,column_radius,ec_vl_length,ec_vl_width,geo_known,ground_type,ground_density,dr_st_af_k,dr_lt_af_k,ud_st_af_k,ud_lt_af_k,dr_st_cohesion_k,dr_lt_cohesion_k,ud_st_cohesion_k,ud_lt_cohesion_k,vl_external,terrain_live_load,hl_length,hl_width,m_length,m_width,internal_moment,concrete_type,f_ck,f_yk,A_s,concrete_density,fabrication_method,include_fiber,fiber_dosage,include_steel,steel_quality,steel_mesh_type,cover_layer,opt_length,opt_width,opt_volume
bfeb542b-d08b-4eb7-b45a-7c13ac7ecbeb,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,600,600,1000,rectangular,300,100,0,200,0,,both,18,33,33,0,25,0,0,80,8,0,0,15,0,0,5,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1050,600,0.378
c4b71a71-4d53-47b4-9e82-70b695c913f3,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,600,600,600,rectangular,200,100,0,0,200,,both,18,33,33,0,25,0,0,80,8,0,0,15,20,10,5,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1550,1350,1.2555
5e7d6839-1cb4-4a9a-b692-6d6e3127de64,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,1000,1000,0,rectangular,100,300,0,0,300,,both,18,33,33,0,25,0,0,80,8,200,0,5,0,5,10,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1450,2650,3.8425
64f08a1b-0849-4002-b0a0-399d894cf46a,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,200,200,1000,rectangular,200,100,0,100,100,,both,18,33,33,0,25,0,0,80,8,20,0,10,5,10,0,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1100,700,0.154
e5bfebd4-ebb2-4fec-8958-62eea9ed6ac8,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,600,600,400,rectangular,400,100,0,200,200,,both,18,33,33,0,25,0,0,80,8,100,0,10,20,5,5,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1350,1650,1.3365
c8d0343d-e0b3-4a59-8851-b1fd0d64d25a,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,400,400,800,rectangular,200,200,0,0,0,,both,18,33,33,0,25,0,0,80,8,160,0,20,15,5,0,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,950,1050,0.399
50e7ce25-4831-4314-9b48-379151d76ea4,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,400,400,200,rectangular,400,400,0,100,200,,both,18,33,33,0,25,0,0,80,8,120,0,10,10,0,10,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1200,1950,0.936
a5de3988-f825-41d4-9909-9d1731e89900,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,1200,1200,200,rectangular,300,300,0,200,100,,both,18,33,33,0,25,0,0,80,8,-20,0,0,20,5,5,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1650,1400,2.772
2b21462b-45b0-4cc0-8fb5-16d9489d72cd,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,1200,1200,400,rectangular,100,100,0,300,200,,both,18,33,33,0,25,0,0,80,8,20,0,15,5,5,5,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1400,1100,1.848
670289cd-eef7-4bf1-84f0-e8348e62f49d,Denmark,,,rectangular,1.45,1.2,1.8,1.9,2.1,2,0,400,400,1200,rectangular,300,200,0,100,0,,both,18,33,33,0,25,0,0,80,8,140,0,10,15,10,10,0,25,25,0,0,24,in_situ,on,"1.8,1.9,2.1,2,4",,0,0,0,1300,750,0.39
