height,opt_length,opt_width
150,1950,1800
200,2300,1150
250,2400,800
300,2350,650
350,2050,750
400,1900,800
450,1700,900
500,1600,950
550,1500,1000
600,1400,1100
650,1350,1150
700,1300,1200
750,1200,1350
800,1200,1350
850,1150,1400
900,1150,1450
950,1100,1500
1000,1050,1600
1050,1000,1650
1100,950,1700
1150,900,1800
1200,900,1800
1250,850,1850
1300,800,2000
1350,800,1950
1400,800,2000
1450,800,2000
1500,800,2000
