height,opt_length,opt_width,volume
700,3350,650,1.52425
700,3700,600,1.554
700,4050,550,1.55925
700,4450,500,1.5575
700,4850,450,1.52775
750,650,4250,2.071875
750,700,3800,1.995
750,750,3400,1.9125
750,800,3050,1.83
750,850,2750,1.753125
750,900,2500,1.6875
750,950,2250,1.603125
750,1000,2050,1.5375
750,1050,1850,1.456875
750,1100,1650,1.36125
750,1150,1500,1.29375
750,1200,1350,1.215
750,1250,1300,1.21875
750,1300,1250,1.21875
750,1400,1200,1.26
750,1500,1150,1.29375
750,1650,1100,1.36125
750,1750,1050,1.378125
750,1900,1000,1.425
750,2100,950,1.49625
750,2250,900,1.51875
750,2450,850,1.561875
750,2650,800,1.59
750,2900,750,1.63125
750,3200,700,1.68
750,3500,650,1.70625
750,3850,600,1.7325
750,4200,550,1.7325
750,4600,500,1.725
750,5000,450,1.6875
800,650,4150,2.158
800,700,3700,2.072
800,750,3300,1.98
800,800,3000,1.92
800,850,2700,1.836
800,900,2400,1.728
800,950,2200,1.672
800,1000,1950,1.56
800,1050,1750,1.47
800,1100,1600,1.408
800,1150,1450,1.334
800,1200,1350,1.296
800,1250,1300,1.3
800,1350,1250,1.35
800,1500,1200,1.44
800,1600,1150,1.472
800,1750,1100,1.54
800,1850,1050,1.554
800,2050,1000,1.64
800,2200,950,1.672
800,2400,900,1.728
800,2600,850,1.768
800,2800,800,1.792
800,3050,750,1.83
800,3350,700,1.876
800,3650,650,1.898
800,4000,600,1.92
800,4400,550,1.936
800,4800,500,1.92
800,5200,450,1.872
850,650,4050,2.237625
850,700,3650,2.17175
850,750,3250,2.071875
850,800,2900,1.972
850,850,2600,1.8785
850,900,2350,1.79775
850,950,2150,1.736125
850,1000,1900,1.615
850,1050,1750,1.561875
850,1100,1550,1.44925
850,1150,1400,1.3685
850,1250,1350,1.434375
850,1350,1300,1.49175
850,1450,1250,1.540625
850,1550,1200,1.581
850,1700,1150,1.66175
850,1850,1100,1.72975
850,2000,1050,1.785
850,2150,1000,1.8275
850,2300,950,1.85725
850,2500,900,1.9125
850,2700,850,1.95075
850,2950,800,2.006
850,3250,750,2.071875
850,3550,700,2.11225
850,3850,650,2.127125
850,4200,600,2.142
850,4600,550,2.1505
850,5000,500,2.125
850,5450,450,2.084625
900,650,4000,2.34
900,700,3550,2.2365
900,750,3200,2.16
900,800,2850,2.052
900,850,2600,1.989
900,900,2300,1.863
900,950,2100,1.7955
900,1000,1900,1.71
900,1050,1700,1.6065
900,1100,1550,1.5345
900,1150,1450,1.50075
900,1250,1400,1.575
900,1350,1350,1.64025
900,1450,1300,1.6965
900,1550,1250,1.74375
900,1650,1200,1.782
900,1800,1150,1.863
900,1950,1100,1.9305
900,2100,1050,1.9845
900,2250,1000,2.025
900,2450,950,2.09475
900,2650,900,2.1465
900,2850,850,2.18025
900,3150,800,2.268
900,3400,750,2.295
900,3750,700,2.3625
900,4100,650,2.3985
900,4450,600,2.403
900,4850,550,2.40075
900,5250,500,2.3625
950,650,3800,2.3465
950,700,3400,2.261
950,750,3050,2.173125
950,800,2700,2.052
950,850,2450,1.978375
950,900,2200,1.881
950,950,2000,1.805
950,1000,1800,1.71
950,1050,1600,1.596
950,1100,1500,1.5675
950,1200,1450,1.653
950,1300,1400,1.729
950,1400,1350,1.7955
950,1500,1300,1.8525
950,1600,1250,1.9
950,1750,1200,1.995
950,1850,1150,2.021125
950,2000,1100,2.09
950,2150,1050,2.144625
950,2350,1000,2.2325
950,2550,950,2.301375
950,2750,900,2.35125
950,3000,850,2.4225
950,3250,800,2.47
950,3550,750,2.529375
950,3900,700,2.5935
950,4250,650,2.624375
950,4650,600,2.6505
950,5050,550,2.638625
950,5500,500,2.6125
1000,650,3600,2.34
1000,700,3200,2.24
1000,750,2900,2.175
1000,800,2600,2.08
1000,850,2300,1.955
1000,900,2100,1.89
1000,950,1900,1.805
1000,1000,1700,1.7
1000,1050,1600,1.68
1000,1100,1550,1.705
1000,1150,1500,1.725
1000,1250,1450,1.8125
1000,1350,1400,1.89
1000,1450,1350,1.9575
1000,1550,1300,2.015
1000,1650,1250,2.0625
1000,1800,1200,2.16
1000,1950,1150,2.2425
1000,2100,1100,2.31
1000,2250,1050,2.3625
1000,2450,1000,2.45
1000,2600,950,2.47
1000,2850,900,2.565
1000,3100,850,2.635
1000,3400,800,2.72
1000,3700,750,2.775
1000,4050,700,2.835
1000,4400,650,2.86
1000,4850,600,2.91
1000,5250,550,2.8875
1050,600,3850,2.4255
1050,650,3450,2.354625
1050,700,3050,2.24175
1050,750,2750,2.165625
1050,800,2450,2.058
1050,850,2200,1.9635
1050,900,2000,1.89
1050,950,1800,1.7955
1050,1000,1650,1.7325
1050,1050,1600,1.764
1050,1100,1550,1.79025
1050,1200,1500,1.89
1050,1300,1450,1.97925
1050,1400,1400,2.058
1050,1500,1350,2.12625
1050,1600,1300,2.184
1050,1700,1250,2.23125
1050,1850,1200,2.331
1050,2000,1150,2.415
1050,2150,1100,2.48325
1050,2300,1050,2.53575
1050,2500,1000,2.625
1050,2700,950,2.69325
1050,2950,900,2.78775
1050,3200,850,2.856
1050,3500,800,2.94
1050,3850,750,3.031875
1050,4200,700,3.087
1050,4600,650,3.1395
1050,5000,600,3.15
1050,5450,550,3.147375
1100,600,3700,2.442
1100,650,3300,2.3595
1100,700,2950,2.2715
1100,750,2600,2.145
1100,800,2350,2.068
1100,850,2150,2.01025
1100,900,1900,1.881
1100,950,1700,1.7765
1100,1000,1650,1.815
1100,1100,1600,1.936
1100,1150,1550,1.96075
1100,1250,1500,2.0625
1100,1350,1450,2.15325
1100,1450,1400,2.233
1100,1550,1350,2.30175
1100,1650,1300,2.3595
1100,1750,1250,2.40625
1100,1900,1200,2.508
1100,2050,1150,2.59325
1100,2200,1100,2.662
1100,2400,1050,2.772
1100,2600,1000,2.86
1100,2800,950,2.926
1100,3050,900,3.0195
1100,3300,850,3.0855
1100,3650,800,3.212
1100,3950,750,3.25875
1100,4350,700,3.3495
1100,4750,650,3.39625
1100,5200,600,3.432
1150,600,3550,2.4495
1150,650,3150,2.354625
1150,700,2800,2.254
1150,750,2500,2.15625
1150,800,2300,2.116
1150,850,2000,1.955
1150,900,1800,1.863
1150,950,1750,1.911875
1150,1000,1700,1.955
1150,1050,1650,1.992375
1150,1100,1600,2.024
1150,1200,1550,2.139
1150,1300,1500,2.2425
1150,1350,1450,2.251125
1150,1450,1400,2.3345
1150,1600,1350,2.484
1150,1700,1300,2.5415
1150,1800,1250,2.5875
1150,1950,1200,2.691
1150,2100,1150,2.77725
1150,2250,1100,2.84625
1150,2450,1050,2.958375
1150,2650,1000,3.0475
1150,2850,950,3.113625
1150,3150,900,3.26025
1150,3400,850,3.3235
1150,3750,800,3.45
1150,4100,750,3.53625
1150,4500,700,3.6225
1150,4900,650,3.66275
1150,5350,600,3.6915
1200,600,3400,2.448
1200,650,3000,2.34
1200,700,2700,2.268
1200,750,2450,2.205
1200,800,2300,2.208
1200,850,1950,1.989
1200,900,1800,1.944
1200,950,1750,1.995
1200,1000,1700,2.04
1200,1100,1650,2.178
1200,1150,1600,2.208
1200,1250,1550,2.325
1200,1300,1500,2.34
1200,1400,1450,2.436
1200,1500,1400,2.52
1200,1600,1350,2.592
1200,1750,1300,2.73
1200,1850,1250,2.775
1200,2000,1200,2.88
1200,2150,1150,2.967
1200,2350,1100,3.102
1200,2500,1050,3.15
1200,2700,1000,3.24
1200,2950,950,3.363
1200,3200,900,3.456
1200,3500,850,3.57
1200,3850,800,3.696
1200,4200,750,3.78
1200,4600,700,3.864
1200,5050,650,3.939
1200,5550,600,3.996
1250,600,3250,2.4375
1250,650,2900,2.35625
1250,700,2600,2.275
1250,750,2450,2.296875
1250,800,2050,2.05
1250,850,1850,1.965625
1250,900,1800,2.025
1250,1000,1750,2.1875
1250,1050,1700,2.23125
1250,1100,1650,2.26875
1250,1200,1600,2.4
1250,1250,1550,2.421875
1250,1350,1500,2.53125
1250,1450,1450,2.628125
1250,1550,1400,2.7125
1250,1650,1350,2.784375
1250,1800,1300,2.925
1250,1900,1250,2.96875
1250,2050,1200,3.075
1250,2200,1150,3.1625
1250,2400,1100,3.3
1250,2550,1050,3.346875
1250,2800,1000,3.5
1250,3050,950,3.621875
1250,3300,900,3.7125
1250,3600,850,3.825
1250,3950,800,3.95
1250,4300,750,4.03125
1250,4750,700,4.15625
1250,5200,650,4.225
1300,550,3550,2.53825
1300,600,3150,2.457
1300,650,2800,2.366
1300,700,2600,2.366
1300,750,2450,2.38875
1300,800,2000,2.08
1300,850,1900,2.0995
1300,900,1850,2.1645
1300,950,1800,2.223
1300,1000,1750,2.275
1300,1050,1700,2.3205
1300,1150,1650,2.46675
1300,1200,1600,2.496
1300,1300,1550,2.6195
1300,1400,1500,2.73
1300,1500,1450,2.8275
1300,1600,1400,2.912
1300,1700,1350,2.9835
1300,1800,1300,3.042
1300,1950,1250,3.16875
1300,2100,1200,3.276
1300,2250,1150,3.36375
1300,2450,1100,3.5035
1300,2650,1050,3.61725
1300,2850,1000,3.705
1300,3100,950,3.8285
1300,3400,900,3.978
1300,3700,850,4.0885
1300,4050,800,4.212
1300,4450,750,4.33875
1300,4850,700,4.4135
1300,5350,650,4.52075
1350,550,3400,2.5245
1350,600,3000,2.43
1350,650,2800,2.457
1350,700,2600,2.457
1350,750,2450,2.480625
1350,800,1950,2.106
1350,850,1900,2.18025
1350,900,1850,2.24775
1350,950,1800,2.3085
1350,1050,1750,2.480625
1350,1100,1700,2.5245
1350,1150,1650,2.561625
1350,1250,1600,2.7
1350,1300,1550,2.72025
1350,1400,1500,2.835
1350,1500,1450,2.93625
1350,1600,1400,3.024
1350,1750,1350,3.189375
1350,1850,1300,3.24675
1350,2000,1250,3.375
1350,2150,1200,3.483
1350,2300,1150,3.57075
1350,2500,1100,3.7125
1350,2700,1050,3.82725
1350,2900,1000,3.915
1350,3200,950,4.104
1350,3450,900,4.19175
1350,3800,850,4.3605
1350,4150,800,4.482
1350,4550,750,4.606875
1350,5000,700,4.725
1350,5450,650,4.782375
1400,550,3300,2.541
1400,600,3000,2.52
1400,650,2800,2.548
1400,700,2650,2.597
1400,750,2500,2.625
1400,800,2000,2.24
1400,850,1950,2.3205
1400,900,1900,2.394
1400,950,1850,2.4605
1400,1000,1800,2.52
1400,1050,1750,2.5725
1400,1100,1700,2.618
1400,1200,1650,2.772
1400,1250,1600,2.8
1400,1350,1550,2.9295
1400,1450,1500,3.045
1400,1550,1450,3.1465
1400,1650,1400,3.234
1400,1750,1350,3.3075
1400,1900,1300,3.458
1400,2050,1250,3.5875
1400,2200,1200,3.696
1400,2350,1150,3.7835
1400,2550,1100,3.927
1400,2750,1050,4.0425
1400,3000,1000,4.2
1400,3250,950,4.3225
1400,3550,900,4.473
1400,3850,850,4.5815
1400,4250,800,4.76
1400,4650,750,4.8825
1400,5100,700,4.998
1400,5600,650,5.096
1450,550,3300,2.63175
1450,600,3050,2.6535
1450,650,2850,2.686125
1450,700,2650,2.68975
1450,750,2500,2.71875
1450,800,2000,2.32
1450,850,1950,2.403375
1450,900,1900,2.4795
1450,950,1850,2.548375
1450,1000,1800,2.61
1450,1050,1750,2.664375
1450,1150,1700,2.83475
1450,1200,1650,2.871
1450,1300,1600,3.016
1450,1400,1550,3.1465
1450,1450,1500,3.15375
1450,1550,1450,3.258875
1450,1700,1400,3.451
1450,1800,1350,3.5235
1450,1950,1300,3.67575
1450,2100,1250,3.80625
1450,2250,1200,3.915
1450,2400,1150,4.002
1450,2600,1100,4.147
1450,2800,1050,4.263
1450,3050,1000,4.4225
1450,3300,950,4.54575
1450,3600,900,4.698
1450,3950,850,4.868375
1450,4350,800,5.046
1450,4750,750,5.165625
1450,5200,700,5.278
1500,550,3300,2.7225
1500,600,3050,2.745
1500,650,2850,2.77875
1500,700,2650,2.7825
1500,750,2500,2.8125
1500,800,2000,2.4
1500,850,1950,2.48625
1500,900,1900,2.565
1500,950,1850,2.63625
1500,1050,1800,2.835
1500,1100,1750,2.8875
1500,1150,1700,2.9325
1500,1250,1650,3.09375
1500,1300,1600,3.12
1500,1400,1550,3.255
1500,1500,1500,3.375
1500,1600,1450,3.48
1500,1700,1400,3.57
1500,1850,1350,3.74625
1500,1950,1300,3.8025
1500,2100,1250,3.9375
1500,2250,1200,4.05
1500,2450,1150,4.22625
1500,2650,1100,4.3725
1500,2850,1050,4.48875
1500,3100,1000,4.65
1500,3400,950,4.845
1500,3700,900,4.995
1500,4050,850,5.16375
1500,4400,800,5.28
1500,4850,750,5.45625
1500,5350,700,5.6175
