,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500,2550,2600,2650,2700,2750,2800,2850,2900,2950,3000,3050,3100,3150,3200,3250,3300,3350,3400,3450,3500,3550,3600,3650,3700,3750,3800,3850,3900,3950,4000,4050,4100,4150,4200,4250,4300,4350,4400,4450,4500,4550,4600,4650,4700,4750,4800,4850,4900,4950,5000,5050,5100,5150,5200,5250,5300,5350,5400,5450,5500,5550,5600,5650,5700,5750,5800,5850,5900,5950,6000,6050,6100,6150,6200,6250,6300,6350,6400,6450,6500,6550,6600,6650,6700,6750,6800,6850,6900,6950,7000,7050,7100,7150,7200,7250,7300,7350,7400,7450,7500,7550,7600,7650,7700,7750,7800,7850,7900,7950,8000
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240625,0.25025,0.259875,0.2695,0.279125,0.28875,0.298375,0.308,0.317625,0.32725,0.336875,0.3465,0.356125,0.36575,0.375375,0.385,0.394625,0.40425,0.413875,0.4235,0.433125,0.44275,0.452375,0.462,0.471625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0.242,0.253,0.264,0.275,0.286,0.297,0.308,0.319,0.33,0.341,0.352,0.363,0.374,0.385,0.396,0.407,0.418,0.429,0.44,0.451,0.462,0.473,0.484,0.495,0.506,0.517,0.528,0.539,0.55,0.561,0.572,0.583,0.594,0.605,0.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0.2475,0.259875,0.27225,0.284625,0.297,0.309375,0.32175,0.334125,0.3465,0.358875,0.37125,0.383625,0.396,0.408375,0.42075,0.433125,0.4455,0.457875,0.47025,0.482625,0.495,0.507375,0.51975,0.532125,0.5445,0.556875,0.56925,0.581625,0.594,0.606375,0.61875,0.631125,0.6435,0.655875,0.66825,0.680625,0.693,0.705375,0.71775,0.730125,0.7425,0.754875,0.76725,0.779625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0.2475,0.26125,0.275,0.28875,0.3025,0.31625,0.33,0.34375,0.3575,0.37125,0.385,0.39875,0.4125,0.42625,0.44,0.45375,0.4675,0.48125,0.495,0.50875,0.5225,0.53625,0.55,0.56375,0.5775,0.59125,0.605,0.61875,0.6325,0.64625,0.66,0.67375,0.6875,0.70125,0.715,0.72875,0.7425,0.75625,0.77,0.78375,0.7975,0.81125,0.825,0.83875,0.8525,0.86625,0.88,0.89375,0.9075,0.92125,0.935,0.94875,0.9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0.257125,0.27225,0.287375,0.3025,0.317625,0.33275,0.347875,0.363,0.378125,0.39325,0.408375,0.4235,0.438625,0.45375,0.468875,0.484,0.499125,0.51425,0.529375,0.5445,0.559625,0.57475,0.589875,0.605,0.620125,0.63525,0.650375,0.6655,0.680625,0.69575,0.710875,0.726,0.741125,0.75625,0.771375,0.7865,0.801625,0.81675,0.831875,0.847,0.862125,0.87725,0.892375,0.9075,0.922625,0.93775,0.952875,0.968,0.983125,0.99825,1.013375,1.0285,1.043625,1.05875,1.073875,1.089,1.104125,1.11925,1.134375,1.1495,1.164625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0.2805,0.297,0.3135,0.33,0.3465,0.363,0.3795,0.396,0.4125,0.429,0.4455,0.462,0.4785,0.495,0.5115,0.528,0.5445,0.561,0.5775,0.594,0.6105,0.627,0.6435,0.66,0.6765,0.693,0.7095,0.726,0.7425,0.759,0.7755,0.792,0.8085,0.825,0.8415,0.858,0.8745,0.891,0.9075,0.924,0.9405,0.957,0.9735,0.99,1.0065,1.023,1.0395,1.056,1.0725,1.089,1.1055,1.122,1.1385,1.155,1.1715,1.188,1.2045,1.221,1.2375,1.254,1.2705,1.287,1.3035,1.32,1.3365,1.353,1.3695,1.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0.286,0.303875,0.32175,0.339625,0.3575,0.375375,0.39325,0.411125,0.429,0.446875,0.46475,0.482625,0.5005,0.518375,0.53625,0.554125,0.572,0.589875,0.60775,0.625625,0.6435,0.661375,0.67925,0.697125,0.715,0.732875,0.75075,0.768625,0.7865,0.804375,0.82225,0.840125,0.858,0.875875,0.89375,0.911625,0.9295,0.947375,0.96525,0.983125,1.001,1.018875,1.03675,1.054625,1.0725,1.090375,1.10825,1.126125,1.144,1.161875,1.17975,1.197625,1.2155,1.233375,1.25125,1.269125,1.287,1.304875,1.32275,1.340625,1.3585,1.376375,1.39425,1.412125,1.43,1.447875,1.46575,1.483625,1.5015,1.519375,1.53725,1.555125,1.573,1.590875,1.60875,1.626625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0.28875,0.308,0.32725,0.3465,0.36575,0.385,0.40425,0.4235,0.44275,0.462,0.48125,0.5005,0.51975,0.539,0.55825,0.5775,0.59675,0.616,0.63525,0.6545,0.67375,0.693,0.71225,0.7315,0.75075,0.77,0.78925,0.8085,0.82775,0.847,0.86625,0.8855,0.90475,0.924,0.94325,0.9625,0.98175,1.001,1.02025,1.0395,1.05875,1.078,1.09725,1.1165,1.13575,1.155,1.17425,1.1935,1.21275,1.232,1.25125,1.2705,1.28975,1.309,1.32825,1.3475,1.36675,1.386,1.40525,1.4245,1.44375,1.463,1.48225,1.5015,1.52075,1.54,1.55925,1.5785,1.59775,1.617,1.63625,1.6555,1.67475,1.694,1.71325,1.7325,1.75175,1.771,1.79025,1.8095,1.82875,1.848,1.86725,1.8865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,0.309375,0.33,0.350625,0.37125,0.391875,0.4125,0.433125,0.45375,0.474375,0.495,0.515625,0.53625,0.556875,0.5775,0.598125,0.61875,0.639375,0.66,0.680625,0.70125,0.721875,0.7425,0.763125,0.78375,0.804375,0.825,0.845625,0.86625,0.886875,0.9075,0.928125,0.94875,0.969375,0.99,1.010625,1.03125,1.051875,1.0725,1.093125,1.11375,1.134375,1.155,1.175625,1.19625,1.216875,1.2375,1.258125,1.27875,1.299375,1.32,1.340625,1.36125,1.381875,1.4025,1.423125,1.44375,1.464375,1.485,1.505625,1.52625,1.546875,1.5675,1.588125,1.60875,1.629375,1.65,1.670625,1.69125,1.711875,1.7325,1.753125,1.77375,1.794375,1.815,1.835625,1.85625,1.876875,1.8975,1.918125,1.93875,1.959375,1.98,2.000625,2.02125,2.041875,2.0625,2.083125,2.10375,2.124375,2.145,2.165625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
