,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36075,0.3705,0.38025,0.39
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352625,0.364,0.375375,0.38675,0.398125,0.4095,0.420875,0.43225,0.443625,0.455
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0.364,0.377,0.39,0.403,0.416,0.429,0.442,0.455,0.468,0.481,0.494,0.507,0.52
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336375,0.351,0.365625,0.38025,0.394875,0.4095,0.424125,0.43875,0.453375,0.468,0.482625,0.49725,0.511875,0.5265,0.541125,0.55575,0.570375,0.585
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0.34125,0.3575,0.37375,0.39,0.40625,0.4225,0.43875,0.455,0.47125,0.4875,0.50375,0.52,0.53625,0.5525,0.56875,0.585,0.60125,0.6175,0.63375,0.65
550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32175,0.339625,0.3575,0.375375,0.39325,0.411125,0.429,0.446875,0.46475,0.482625,0.5005,0.518375,0.53625,0.554125,0.572,0.589875,0.60775,0.625625,0.6435,0.661375,0.67925,0.697125,0.715
600,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.3315,0.351,0.3705,0.39,0.4095,0.429,0.4485,0.468,0.4875,0.507,0.5265,0.546,0.5655,0.585,0.6045,0.624,0.6435,0.663,0.6825,0.702,0.7215,0.741,0.7605,0.78
650,0,0,0,0,0,0,0,0,0,0,0,0.316875,0.338,0.359125,0.38025,0.401375,0.4225,0.443625,0.46475,0.485875,0.507,0.528125,0.54925,0.570375,0.5915,0.612625,0.63375,0.654875,0.676,0.697125,0.71825,0.739375,0.7605,0.781625,0.80275,0.823875,0.845
